Index,CER,WER,BLEU,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,TER,chrF,Jaccard,Cosine_Sim,Levenshtein_Sim,Precision,Recall,F1-Score,Length_Ratio
280,6.25,6.557377049180328,85.39836522894609,93.44262295081968,90.85206855463301,88.28451260352651,85.39836522894609,93.42647674694358,0.0,0.0,0.0,6.557377049180328,92.32076284342018,86.66666666666667,94.36619718309859,95.1219512195122,92.85714285714286,92.85714285714286,92.85714285714286,100.0
281,1.06951871657754,4.444444444444445,91.84043388013005,95.55555555555556,94.36122298932122,93.19025073814348,91.84043388013005,95.55074815215433,0.0,0.0,0.0,4.444444444444445,97.27260154357619,92.5,96.56607807009061,99.13419913419914,94.87179487179486,97.36842105263158,96.10389610389609,100.0
282,4.4692737430167595,8.51063829787234,84.36031995631313,91.46805400463735,89.1944570827582,86.93210077687381,84.36031995631313,91.61236235572504,0.0,0.0,0.0,8.51063829787234,93.71930235215841,86.36363636363636,93.91659426728526,96.24724061810154,95.0,90.47619047619048,92.6829268292683,97.87234042553192
283,3.439153439153439,3.75,92.36558567091669,96.29629629629629,95.01461875826149,93.76580091476299,92.36558567091669,97.36545212632795,0.0,0.0,0.0,3.75,95.92616948772901,93.84615384615384,98.00874596542027,97.30312837108953,95.3125,98.38709677419355,96.82539682539682,101.25
284,3.3980582524271843,4.444444444444445,88.19755339468199,95.55555555555556,93.20337272260424,90.84203474465006,88.19755339468199,95.53933056907638,0.0,0.0,0.0,4.444444444444445,95.1997978375564,89.74358974358975,96.72131147540985,97.61904761904762,94.5945945945946,94.5945945945946,94.5945945945946,100.0
285,37.16475095785441,36.0655737704918,34.560505564981014,63.89851253674061,52.620761424312256,42.54800175588452,34.560505564981014,62.95687134502924,0.0,0.0,0.0,36.0655737704918,61.95221662932232,50.0,65.33333333333331,50.65123010130246,68.62745098039215,64.81481481481481,66.66666666666666,96.72131147540983
286,2.0161290322580645,1.8867924528301887,95.06885335787997,98.11320754716981,97.12858623572642,96.15248542048856,95.06885335787997,98.11041643407391,0.0,0.0,0.0,1.8867924528301887,96.94419792817322,96.15384615384616,98.24561403508771,98.16971713810317,98.0392156862745,98.0392156862745,98.0392156862745,100.0
287,3.498542274052478,3.125,91.94811171827162,96.875,95.26624740555725,93.68624496668338,91.94811171827162,96.8711459899025,0.0,0.0,0.0,3.125,95.32758867749558,88.23529411764706,99.54407294832829,96.25425652667423,93.75,93.75,93.75,100.0
288,1.06951871657754,2.2222222222222223,94.14356817218076,97.77777777777777,96.60917830792958,95.44371672418815,94.14356817218076,97.77318640955005,0.0,0.0,0.0,2.2222222222222223,97.37743259437885,95.55555555555556,97.87234042553192,98.92008639308855,97.72727272727273,97.72727272727273,97.72727272727273,100.0
289,2.0172910662824206,8.045977011494253,83.67953226289592,91.89675660689237,88.31149098425173,85.97247234684144,83.67953226289592,92.24129541522493,0.0,0.0,0.0,8.045977011494253,94.51848275476961,89.23076923076924,92.8765901708941,95.01738122827346,95.08196721311475,93.54838709677419,94.3089430894309,96.55172413793103
